Volatility 3 Framework 2.7.0

Offset	Name	Size
0x1c541970	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk	216
0x1c541b70	\Windows\System32\en-US\oleaccrc.dll.mui	216
0x1c684070	\Windows\System32\tzres.dll	216
0x1c6844b0	\Windows\System32\mprapi.dll	216
0x1c684bf0	\$Directory	216
0x1c8a5f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Math Input Panel.lnk	216
0x1cbf62a0	\$Directory	216
0x1dd36280	\Windows\System32\winevt\Logs\Microsoft-Windows-TerminalServices-LocalSessionManager%4Operational.evtx	216
0x1dd36610	\Windows\SysWOW64\netutils.dll	216
0x1e696f20	\Windows\System32\utildll.dll	216
0x1ec76b30	\Windows\SysWOW64\wininet.dll	216
0x1ec76f20	\Program Files\VMware\VMware Tools\icudt44l.dat	216
0x1fd7c9d0	\Winsock2\CatalogChangeListener-1fc-0	216
0x235fa070	\Windows\Fonts\shruti.ttf	216
0x3d804b80	\Windows\System32\dot3api.dll	216
0x3d804f20	\Users\Analyst\Desktop\REMA-Tools\x64dbg\release\x32\msvcp120.dll	216
0x3d810590	\Endpoint	216
0x3d8263a0	\Windows\SysWOW64\msvcrt.dll	216
0x3d826780	\$Directory	216
0x3d826ca0	\Users\Analyst\ntuser.dat.LOG2	216
0x3d8279d0	\Windows\Temp\1910.WNCRYTcal\Microsoft\Windows\Explorer\thumbcache_32.db	216
0x3d82bb30	\Windows\Fonts\consola.ttf	216
0x3d82db20	\Windows\System32\esent.dll	216
0x3d836070	\Windows\System32\wbem\ntevt.dll	216
0x3d83a310	\Windows\System32\mssrch.dll	216
0x3da00070	\$Directory	216
0x3da004c0	\Windows\System32\msdtctm.dll	216
0x3da00830	\Windows\System32\wdiasqmmodule.dll	216
0x3da009b0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Data Sources (ODBC).lnk	216
0x3da00b00	\Windows\Web\Wallpaper\Landscapes\Desktop.ini	216
0x3da00dd0	\Windows\SysWOW64\rasadhlp.dll	216
0x3da02ea0	\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnosis-DPS%4Operational.evtx	216
0x3da03450	\Endpoint	216
0x3da035a0	\Windows\Registration\R000000000006.clb	216
0x3da036f0	\Windows\System32\perfos.dll	216
0x3da03890	\Users\Analyst\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf	216
0x3da039e0	\Windows\System32\tquery.dll	216
0x3da04070	\Endpoint	216
0x3da04c60	\Windows\System32\fdPnp.dll	216
0x3da08070	\Windows\SysWOW64\rpcrt4.dll	216
0x3da09070	\Windows\SysWOW64\en-US\user32.dll.mui	216
0x3da09970	\Windows\System32\tdh.dll	216
0x3da09f20	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell.lnk	216
0x3da0b920	\Windows\SysWOW64\urlmon.dll	216
0x3da0dbd0	\Windows\System32\umb.dll	216
0x3da0e230	\Windows\System32\NlsData0018.dll	216
0x3da11880	\Windows\System32\en-US\KernelBase.dll.mui	216
0x3da11f20	\Windows\System32\catsrvps.dll	216
0x3da15e40	\Windows\System32\pnrpnsp.dll	216
0x3da1f590	\Windows\Temp\2342.WNCRYTcal\Microsoft\Windows\Explorer\thumbcache_1024.db	216
0x3da21660	\Users\Analyst\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.tmp	216
0x3da21c10	\Windows\System32\wscui.cpl	216
